time,pgd
2025-05-20 06:42:00,8.856787169091e-08
2025-05-20 06:44:00,2.6648992421812763e-08
2025-05-20 06:48:00,1.299209430942635e-07
2025-05-20 06:58:00,7.433746196399981e-08
2025-05-20 06:59:00,1.458887475745697e-07
2025-05-20 07:03:00,1.8856395970096707e-08
2025-05-20 07:08:00,9.722160970722814e-08
2025-05-20 08:57:00,8.468814586839294e-08
2025-05-20 08:58:00,8.469397706500553e-08
2025-05-20 09:07:00,1.6340534949116992e-07
2025-05-20 10:55:00,4.3173387215795156e-08
2025-05-20 11:55:00,3.266586508612602e-08
2025-05-20 12:27:00,4.126171243704125e-08
2025-05-20 12:40:00,2.4368364401892934e-07
2025-05-20 13:44:00,2.3402696435452005e-08
2025-05-20 13:52:00,7.623151808803136e-08
2025-05-20 13:53:00,7.623158195136273e-08
2025-05-20 14:21:00,7.209005695698678e-08
2025-05-20 14:27:00,1.6768047654301536e-07
2025-05-20 14:31:00,6.51890758612766e-08
2025-05-20 14:40:00,1.550818436647773e-07
2025-05-20 16:18:00,9.170851654674036e-08
2025-05-20 16:19:00,1.712892978446861e-07
2025-05-20 16:20:00,1.7127282278545666e-07
2025-05-20 18:14:00,4.3116759935799555e-07
2025-05-20 19:25:00,1.2543049134528677e-07
2025-05-20 20:14:00,1.3633369505185214e-07
2025-05-20 20:15:00,1.7608650574843717e-08
2025-05-20 22:38:00,6.876370716868847e-08
2025-05-20 22:42:00,2.5919522891815e-08
2025-05-20 22:43:00,2.330249150766153e-08
2025-05-20 22:47:00,9.134460938967377e-08
2025-05-20 23:19:00,3.110837408729421e-08
2025-05-20 23:47:00,3.4623856564744606e-08
2025-05-21 00:20:00,8.794182283596209e-08
2025-05-21 00:23:00,8.805592763567306e-08
2025-05-21 00:28:00,1.170638960003312e-07
2025-05-21 00:29:00,1.1706337331671867e-07
2025-05-21 00:45:00,1.5012168697720566e-07
2025-05-21 00:46:00,1.5011748233545683e-07
2025-05-21 00:47:00,2.4409026937101106e-08
2025-05-21 01:06:00,5.0247535152031795e-08
2025-05-21 01:16:00,5.6928877239613945e-08
2025-05-21 01:17:00,1.3294938689415262e-08
2025-05-21 01:21:00,1.8279621937718032e-07
2025-05-21 01:22:00,1.8227025752411668e-07
2025-05-21 01:42:00,9.045385249743825e-08
2025-05-21 01:57:00,2.424383724279946e-08
2025-05-21 02:02:00,3.8141860338006744e-08
2025-05-21 02:05:00,2.4109195158985732e-08
2025-05-21 02:11:00,5.852699084432169e-08
2025-05-21 02:14:00,1.97488027177571e-08
2025-05-21 02:16:00,5.739032078800592e-08
2025-05-21 02:17:00,4.959986342650478e-07
2025-05-21 02:18:00,4.959992664652286e-07
2025-05-21 03:10:00,7.871621582460446e-08
2025-05-21 03:11:00,7.87150826443916e-08
2025-05-21 03:39:00,1.1529371516501492e-07
2025-05-21 03:45:00,7.53657186281966e-08
2025-05-21 03:46:00,4.9237502773108267e-08
2025-05-21 03:50:00,2.8633162351622254e-07
2025-05-21 03:51:00,2.863350369578388e-07
2025-05-21 03:52:00,2.837171684762334e-08
2025-05-21 03:59:00,6.93017146312933e-08
2025-05-21 04:01:00,2.423431240347618e-08
2025-05-21 04:02:00,6.308381974667641e-08
2025-05-21 04:05:00,3.8133413044651114e-08
2025-05-21 04:06:00,1.1492320677095902e-07
2025-05-21 04:39:00,1.8872268956716406e-08
2025-05-21 04:41:00,2.1210210532444097e-07
2025-05-21 04:42:00,2.1211138917351191e-07
2025-05-21 04:44:00,5.95063159530047e-08
2025-05-21 04:46:00,1.9429965234604196e-08
2025-05-21 05:13:00,1.5732204406388313e-08
2025-05-21 05:22:00,2.695394406237821e-08
2025-05-21 05:35:00,1.6226458085663726e-07
2025-05-21 06:11:00,3.205910607854155e-08
2025-05-21 06:19:00,2.2404030773473843e-08
2025-05-21 06:33:00,1.1308241454180987e-07
2025-05-21 06:34:00,1.1308494437021956e-07
2025-05-21 06:41:00,5.802735508071817e-08
2025-05-21 06:50:00,1.2845420616126385e-07
2025-05-21 07:03:00,3.03687856185267e-08
2025-05-21 07:27:00,1.9153769843565174e-08
